DUR,CENS,AGE,ED,WHITE,LOCRAT
105,0,22,12,0,4
273,0,18,8,1,3
294,0,20,12,1,3
210,0,21,13,1,2
970,1,24,16,0,3
210,0,27,13,0,3
343,0,25,18,1,2
152,1,26,16,1,3
734,1,20,12,0,4
42,0,20,12,0,3
28,0,19,12,1,4
49,0,19,9,0,4
337,1,26,12,0,4
63,0,32,12,0,2
1393,0,19,12,1,2
28,0,22,12,0,3
63,0,19,11,0,4
1330,1,24,18,1,2
245,0,27,13,1,3
175,0,21,12,0,2
357,0,23,14,0,2
63,0,31,14,0,4
267,1,23,12,1,3
539,0,25,18,1,2
210,0,20,12,0,3
42,0,18,9,0,5
140,0,17,9,0,2
91,0,18,12,0,3
212,1,24,12,0,3
350,0,26,12,0,3
49,0,25,14,0,5
112,0,18,10,1,3
313,1,22,12,1,4
35,0,19,12,1,5
231,1,29,10,1,2
379,1,21,12,1,4
823,1,24,15,0,2
161,0,22,12,0,6
1080,1,28,16,1,2
388,1,26,12,0,4
333,1,27,12,0,2
7,1,21,12,1,3
35,1,22,11,1,3
28,0,17,10,1,2
161,0,21,12,1,5
1191,1,20,12,1,4
175,0,23,12,0,4
7,0,25,15,0,2
105,0,22,12,0,4
441,0,22,12,0,3
91,0,26,12,1,3
903,0,19,12,0,3
56,0,20,11,1,3
327,1,21,11,0,4
382,1,23,12,1,3
823,1,27,18,1,2
168,0,20,12,0,2
77,0,20,12,1,3
845,1,20,12,0,5
10,1,21,12,0,5
266,0,24,14,1,2
70,0,23,12,0,4
336,0,20,9,1,3
70,0,19,9,1,4
21,0,19,12,1,2
1115,1,22,12,0,3
63,0,21,12,0,5
140,0,24,15,0,4
7,0,25,12,0,3
84,0,20,12,0,3
63,0,21,11,0,4
261,1,21,12,0,3
70,0,26,10,0,3
70,0,24,15,0,4
154,0,22,12,1,4
98,0,19,8,0,4
238,0,28,8,1,2
42,0,24,13,0,3
91,0,22,12,0,4
476,0,22,12,0,3
168,0,22,14,1,3
7,0,20,12,1,3
154,0,28,13,1,3
553,0,20,12,1,3
56,0,18,10,1,3
133,0,25,16,0,4
546,0,20,12,0,5
154,0,22,12,0,3
7,0,22,12,1,5
388,1,20,9,1,3
133,0,31,12,0,2
938,0,21,12,1,3
392,1,31,13,1,3
48,1,24,13,0,5
28,0,20,8,0,3
70,0,27,16,0,3
1372,1,23,16,1,4
316,1,22,11,1,3
238,0,20,12,1,3
21,0,19,12,0,5
42,0,25,16,1,1
14,0,18,10,0,3
476,0,21,12,1,5
7,1,26,11,0,5
126,0,28,12,0,2
35,0,20,10,1,4
105,0,20,8,0,2
280,0,29,12,1,2
1225,0,26,12,0,3
294,0,24,14,1,5
371,0,28,12,0,3
875,0,28,12,1,4
126,0,20,9,0,3
1179,1,23,16,1,2
322,1,27,15,0,3
462,0,20,12,0,2
973,0,20,11,1,5
315,0,20,11,0,4
56,0,18,10,1,4
42,0,23,12,1,2
427,0,19,12,0,3
900,1,24,14,0,3
28,0,21,12,1,4
21,0,27,12,1,4
371,0,20,11,1,2
357,0,21,10,0,3
62,1,26,16,0,1
49,0,20,12,0,3
895,1,26,12,0,4
891,1,21,12,0,3
1352,1,19,10,1,6
14,0,20,12,1,3
119,0,20,12,0,2
969,1,20,11,0,6
7,0,20,12,1,3
